epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1183,2.06036,6.28203,1.59365,0.39921,0.53096,0.43091,0.19991,1.74429,1.74661,1.34544,0.0033156,0.0033156,0.0033156
2,87.4654,1.84501,2.07595,1.37149,0.55843,0.46461,0.49793,0.24797,1.68664,1.57627,1.23833,0.00662261,0.00662261,0.00662261
3,128.36,1.88932,1.93894,1.40488,0.51047,0.56585,0.53714,0.24975,1.63248,1.47115,1.2514,0.00990321,0.00990321,0.00990321
4,169.31,1.93169,1.92547,1.45364,0.47274,0.6154,0.53054,0.24979,1.76664,1.56011,1.35942,0.0098812,0.0098812,0.0098812
5,210.22,1.92944,1.83447,1.47213,0.71225,0.59763,0.71744,0.33849,1.71827,1.30446,1.33967,0.0098416,0.0098416,0.0098416
6,251.001,1.86802,1.72319,1.44753,0.57816,0.69691,0.65423,0.31431,1.7019,1.35292,1.40345,0.009802,0.009802,0.009802
7,292.197,1.85261,1.62395,1.45001,0.61078,0.70013,0.66732,0.30381,1.71343,1.31603,1.33744,0.0097624,0.0097624,0.0097624
8,333.355,1.85875,1.60392,1.43222,0.63412,0.74103,0.70168,0.32298,1.74209,1.22306,1.38504,0.0097228,0.0097228,0.0097228
9,374.177,1.79536,1.5356,1.42023,0.71326,0.66437,0.76398,0.35853,1.64136,1.24244,1.32972,0.0096832,0.0096832,0.0096832
10,414.971,1.76781,1.44943,1.40367,0.60191,0.74608,0.73098,0.3468,1.64267,1.23712,1.32459,0.0096436,0.0096436,0.0096436
11,455.736,1.77759,1.42567,1.3901,0.7346,0.77319,0.80946,0.3989,1.58074,1.1225,1.28099,0.009604,0.009604,0.009604
12,496.84,1.7371,1.35063,1.37055,0.74528,0.6861,0.76153,0.38541,1.61298,1.16404,1.34848,0.0095644,0.0095644,0.0095644
13,537.53,1.74216,1.36145,1.38506,0.77985,0.73556,0.82016,0.42086,1.64236,1.00986,1.32907,0.0095248,0.0095248,0.0095248
14,579.283,1.69803,1.3454,1.38277,0.8264,0.72246,0.77768,0.39656,1.61159,1.10945,1.29546,0.0094852,0.0094852,0.0094852
15,621.874,1.65762,1.29392,1.34258,0.78687,0.81653,0.82549,0.41508,1.55619,1.01455,1.25656,0.0094456,0.0094456,0.0094456
16,664.324,1.64229,1.21323,1.32249,0.77533,0.81222,0.82632,0.41258,1.60335,1.04514,1.27992,0.009406,0.009406,0.009406
17,706.81,1.63692,1.22226,1.33835,0.7645,0.76416,0.7676,0.41405,1.56226,1.01478,1.26045,0.0093664,0.0093664,0.0093664
18,747.536,1.63217,1.22217,1.33173,0.77247,0.77835,0.81358,0.42076,1.54724,1.04651,1.24743,0.0093268,0.0093268,0.0093268
19,788.554,1.61321,1.19261,1.32221,0.75029,0.7832,0.82172,0.43242,1.58757,0.98436,1.27339,0.0092872,0.0092872,0.0092872
20,829.251,1.62214,1.17447,1.31088,0.71283,0.82524,0.82013,0.42598,1.57415,0.98906,1.28467,0.0092476,0.0092476,0.0092476
21,870.02,1.59575,1.14355,1.30474,0.79765,0.81934,0.83292,0.41109,1.60321,1.00922,1.29688,0.009208,0.009208,0.009208
22,910.726,1.58811,1.14119,1.30448,0.71363,0.83909,0.84251,0.44261,1.57924,0.98005,1.29115,0.0091684,0.0091684,0.0091684
23,951.633,1.57979,1.1247,1.29017,0.84118,0.82633,0.86755,0.4656,1.52858,0.91689,1.25735,0.0091288,0.0091288,0.0091288
24,992.389,1.53767,1.07128,1.28967,0.87647,0.80028,0.87419,0.4592,1.57923,0.96927,1.28534,0.0090892,0.0090892,0.0090892
25,1033.07,1.52937,1.06317,1.25618,0.81289,0.77747,0.841,0.45095,1.51181,0.99305,1.23425,0.0090496,0.0090496,0.0090496
26,1073.83,1.52434,1.05255,1.274,0.85605,0.81633,0.88519,0.48372,1.5666,0.95034,1.26175,0.00901,0.00901,0.00901
27,1114.51,1.51436,1.0291,1.24361,0.79722,0.7568,0.81477,0.44394,1.54935,1.04905,1.26741,0.0089704,0.0089704,0.0089704
28,1155.31,1.51101,1.04591,1.25179,0.71246,0.845,0.82934,0.42711,1.63724,0.98937,1.28582,0.0089308,0.0089308,0.0089308
29,1196.19,1.51763,1.01839,1.26054,0.81526,0.81538,0.83621,0.44307,1.58908,0.96197,1.27595,0.0088912,0.0088912,0.0088912
30,1236.91,1.50103,1.02186,1.24008,0.79986,0.81511,0.84737,0.47079,1.52101,0.95753,1.22778,0.0088516,0.0088516,0.0088516
